cluster_id,cluster_label,theme_label,rationale
0,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""Alaska General Aviation Incident Investigations"",
  ""theme_label"": ""High-Risk Operating Environment"",
  ""rationale"": ""The sample narratives describe multiple aviation incidents in Alaska involving various aircraft types and operations, highlighting the challenging and high-risk operating environment in the region.""
}
```"
1,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""Helicopter External Load Operation Incidents"",
  ""theme_label"": ""Operational Challenges in External Load Operations"",
  ""rationale"": ""The narratives consistently describe incidents involving helicopters engaged in external load operations, highlighting challenges such as load management, visual reference loss, and ground crew safety.""
}
```"
2,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""engine power loss during cruise"",
  ""theme_label"": ""mechanical failure"",
  ""rationale"": ""The sample narratives consistently describe accidents involving aircraft experiencing engine power loss during cruise flight, leading to substantial damage or fatal outcomes.""
}
```"
3,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""fuel system mismanagement"",
  ""theme_label"": ""fuel-related operational failures"",
  ""rationale"": ""The incidents involve various forms of fuel system mismanagement, including fuel contamination, fuel starvation, fuel exhaustion, and incorrect fueling, leading to engine power loss and forced landings.""
}
```"
4,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""engine power loss during low-altitude operations"",
  ""theme_label"": ""fuel system malfunction or mismanagement"",
  ""rationale"": ""The incidents involve engine power loss at low altitudes, often during critical phases like landing or takeoff, with indications of fuel-related issues such as engine sputtering or surging.""
}
```"
5,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""Loss of Control on Snow-Covered Surfaces"",
  ""theme_label"": ""Adverse Weather and Surface Conditions"",
  ""rationale"": ""The incidents involve aircraft losing control during landing or rollout on snow-covered surfaces, highlighting the challenges posed by adverse weather and surface conditions in maintaining directional control.""
}
```"
6,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""low altitude maneuver-induced loss of control"",
  ""theme_label"": ""inadequate altitude management during low-level operations"",
  ""rationale"": ""The incidents involve pilots performing low altitude maneuvers, such as package drops or low passes, leading to aerodynamic stalls or loss of control due to insufficient altitude for recovery.""
}
```"
7,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""Premature Flare-Induced Hard Landing"",
  ""theme_label"": ""Approach and Landing Technique Deficiency"",
  ""rationale"": ""The incidents consistently involve pilots initiating the landing flare too early, leading to hard landings and substantial aircraft damage, indicating a common issue with approach and landing technique.""
}
```"
8,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""Carburetor Icing-Induced Engine Power Loss"",
  ""theme_label"": ""Environmental Conditions Affecting Engine Performance"",
  ""rationale"": ""The narratives consistently describe incidents where carburetor icing led to partial or total engine power loss, necessitating precautionary or forced landings.""
}
```"
9,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""tailwheel nose-over during off-airport landing"",
  ""theme_label"": ""off-airport landing mishaps"",
  ""rationale"": ""The incidents involve tailwheel-equipped aircraft experiencing nose-over events during off-airport landings, often due to challenging terrain or landing technique issues.""
}
```"
10,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""Descent Below Glide Path on Landing"",
  ""theme_label"": ""Approach and Landing Misjudgment"",
  ""rationale"": ""The incidents consistently involve aircraft descending below the intended glide path during landing, resulting in undershooting the runway and impacting terrain, indicating a pattern of approach misjudgment.""
}
```"
11,PARSE_ERROR,PARSE_ERROR,"```json
{
  ""cluster_label"": ""Landing Gear Configuration Error"",
  ""theme_label"": ""Landing Procedure Oversight"",
  ""rationale"": ""The incidents involve pilots failing to properly configure landing gear before landing, leading to hard landings or gear-up landings, indicating a lapse in landing procedure adherence.""
}
```"
